abandon	L01 U01	[əˈbændən][sound:abandon.mp3]<br />		<hr /><strong>构词</strong>　【根】a-[ad-, to]+ban[v.＆n.禁令]+-don[v.＆n.], to ban, 禁令下达后的结果→v.放弃；停止做某事；放弃（理智、责任）→v.＆n.放纵<br />	<hr />【<strong>考法 1</strong>】<br />v./n. <strong><ins>放纵：</ins></strong>carefree, freedom from <strong><ins>constraint</ins></strong><br /><strong>例</strong>　abandon oneself to emotion　感情用事<br /><strong>近</strong>　unconstraint, uninhibitedness, unrestraint<br /><hr />【<strong>考法 2</strong>】<br />v. <strong><ins>放弃：</ins></strong>to <strong><ins>withdraw</ins></strong> from often in the face of danger or encroachment<br /><strong>例</strong>　abandon the home　离家<br /><strong>反</strong>　salvage　救援<br />
raffish	L20 U05	[ˈræfɪʃ][sound:raffish.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>低俗的：</ins></strong>marked by or suggestive of flashy vulgarity or <strong><ins>crudeness</ins></strong><br /><strong>例</strong>　The dowager cringed at the thought of raffish tourists tromping all over her Persian rugs．孀居贵妇一想到低俗的游客践踏她的波斯地毯就痛苦不已。<br /><strong>近</strong>　crass, lowbred, uncouth, uncultivated, uncultured, unpolished, unrefined, vulgar<br /><strong>反</strong>　civilized, cultivated, cultured, genteel, polished, refined, ultrarefined, well-bred　有教养的<br />
rage	L20 U05	[reɪdʒ][sound:rage.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n./v. <strong><ins>暴怒：</ins></strong><strong><ins>violent</ins></strong> and uncontrolled <strong><ins>anger</ins></strong><br /><strong>例</strong>　Her rages rarely last more than a few minutes.　她的暴躁来得快去得也快。<br /><strong>近</strong>　agitation, deliriousness, delirium, distraction, furor, hysteria, rampage<br />
ragged	L20 U05	[ˈræɡɪd][sound:ragged.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>凹凸不平的，不光滑的：</ins></strong><strong><ins>not</ins></strong> having a level or <strong><ins>smooth</ins></strong> surface<br /><strong>例</strong>　She cut herself on the ragged edge of the tin can's lid．她被罐头盖的锋利边缘割伤了。<br /><strong>近</strong>　broken, bumpy, coarse, irregular, jagged, lumpy, pebbly, rough, roughened, rugged, scraggy<br /><strong>反</strong>　even, flat, level, plane　平整的；smooth　光滑的<br />
rail	L20 U05	[reɪl][sound:rail.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vi. <strong><ins>怒骂，猛烈抨击：</ins></strong>to <strong><ins>revile or scold</ins></strong> in harsh, insolent, or abusive language<br /><strong>例</strong>　We could hear the cook in the kitchen railing against his assistant and wondered if we'd ever get our food．我们可以听到厨师在厨房怒斥他的助手，由此我们怀疑我们点的菜还能不能做好。<br /><strong>近</strong>　baste, berate, castigate, chastise, hammer, lambaste, rebuke, reprimand, reproach, upbraid<br /><strong>反</strong>　accredit, applaud, commend, eulogize, extol, laud, praise　表扬，赞扬<br /><strong>派</strong>　raillery n．善意的打闹<br />
recapitulate	L20 U05	[ˌriːkəˈpɪtʃuleɪt][sound:recapitulate.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />v./n. <strong><ins>概括，摘要：</ins></strong>to <strong><ins>make into a short statement</ins></strong> of the main points<br /><strong>例</strong>　recapitulate the essential points　概括要点<br /><strong>近</strong>　abstract, outline, summarize, synopsize<br />
rakish	L20 U06	[ˈreɪkɪʃ][sound:rakish.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>放荡的，行为不检点的：</ins></strong>having or showing <strong><ins>lowered moral character</ins></strong> or standards; dissolute<br /><strong>例</strong>　He wore his hat at a rakish angle．他帽子戴得吊儿郎当的。<br /><strong>近</strong>　debased, debauched, demoralized, depraved, dissolute, libertine, perverse, perverted, reprobate<br /><strong>反</strong>　good, moral, pure, righteous, virtuous　有美好品德的；uncorrupted　不放荡的<br /><strong>派</strong>　rake n．行为不检点的人，放荡的人<br />
ramble	L20 U06	[ˈræmbl][sound:ramble.mp3]<br />		<hr /><strong>构词</strong>　【联】参考amble[漫步]→vi.漫步，漫游；漫无目的地说→vi.漫谈，长篇大论（并经常离题）地说或写<br /><strong>词根</strong>　<strong>amb</strong>　词根amb表示wander[漫步]。例如ambu-lance[救护车]就是“到处走[amb]（救助伤员）的东西[-ance]”。<br /><strong>同根</strong>　amble, ramble, perambulate<br />	<hr />【<strong>考法 1</strong>】<br />vi. <strong><ins>漫谈；长篇大论（并经常离题）地说或写：</ins></strong>to talk at length <strong><ins>without</ins></strong> sticking to <strong><ins>a topic</ins></strong> or getting to a point<br /><strong>例</strong>　Sometimes she spoke sensibly; sometimes she rambled．有时她说话很有道理；有时却漫无边际。<br /><strong>近</strong>　blather, chat, chatter, drivel, maunder, patter, prattle<br />
rambunctious	L20 U06	[ræmˈbʌŋkʃəs][sound:rambunctious.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>喧闹的，骚乱的：</ins></strong>being rough or <strong><ins>noisy</ins></strong> in a high-spirited way<br /><strong>例</strong>　a very rambunctious and energetic class　一个十分喧闹活跃的课堂<br /><strong>近</strong>　boisterous, clamorous, raucous, riotous, rowdy, tumultuous, turbulent<br /><strong>反</strong>　orderly　有秩序的；calm, noiseless, peaceful, placid, quiet, serene, silent, soundless, tranquil　安静的<br />
ramshackle	L20 U06	[ˈræmʃækl][sound:ramshackle.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>摇摇欲坠的：</ins></strong>appearing <strong><ins>ready to collapse</ins></strong>; rickety<br /><strong>例</strong>　a deserted and ramshackle village　一个废弃的、摇摇欲坠的小木屋<br /><strong>近</strong>　rickety, shaky, tottering<br /><strong>反</strong>　concrete, firm, solid, sturdy　坚固的；stable　稳定的<br />
rancor	L20 U06	[ræŋkər][sound:rancor.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>敌意，深仇：</ins></strong>a bitter deep-seated <strong><ins>ill will</ins></strong><br /><strong>例</strong>　dispel the rancor　驱散敌意<br /><strong>近</strong>　animosity, animus, antagonism, antipathy, bitterness, gall, grudge, hostility, jaundice<br /><strong>反</strong>　amity, harmony, goodwill, rapport, rapprochement　和睦，友好；friendship　友谊<br />
random	L20 U06	[ˈrændəm][sound:random.mp3]<br />		<hr /><strong>构词</strong>　【联】ran+dom, ran in freedom→a.随机的，随意的<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>随机的，随意的：</ins></strong><strong><ins>lacking</ins></strong> a definite plan, purpose, or <strong><ins>pattern</ins></strong><br /><strong>例</strong>　We received several answers and picked one at random．我们收到了若干答案，并随机抽取了一个。<br /><strong>近</strong>　aimless, arbitrary, desultory, erratic, haphazard, scattered, slapdash, stray<br /><strong>反</strong>　methodical, orderly, organized, regular, systematic, systematized　井然有序的，系统化的<br /><strong>派</strong>　randomly adv．随机地；randomize v．随机挑选、排列<br />
rankle	L20 U06	[ˈræŋkl][sound:rankle.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>激怒：</ins></strong>to <strong><ins>cause anger</ins></strong>, irritation, or deep bitterness<br /><strong>例</strong>　Her comments rankled me．她的评论激怒了我。<br /><strong>近</strong>　aggravate, enrage, exasperate, incense, inflame, infuriate, ire, madden, rile, roil<br /><strong>反</strong>　delight, gratify, please　使愉悦；appease, assuage, conciliate, mollify, placate, propitiate　安抚<br />
rant	L20 U06	[rænt][sound:rant.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>（尤指长时间的）训斥，责骂：</ins></strong>a long <strong><ins>angry</ins></strong> speech or <strong><ins>scolding</ins></strong><br /><strong>例</strong>　After complaining about the hotel's lousy service, the woman went off on another rant about the condition of her room．在抱怨完旅店差劲的服务之后，她继续对房间的条件开骂。<br /><strong>近</strong>　castigation, diatribe, harangue, lambasting, philippic, reprimand, reproach, vituperation<br /><strong>反</strong>　encomium, eulogy, panegyric, rhapsody, tribute　赞美之词<br />
rapacious	L20 U06	[rəˈpeɪʃəs][sound:rapacious.mp3]<br />		<hr /><strong>构词</strong>　【根】rap[seize]+-acious[a., 多]，捕（食）多的→a.食量大的，贪食的；引申→a.过度贪婪的<br /><strong>词根</strong>　<strong>rap (t), rave, rept</strong>　词根rap (t)表示seize[抓]，构成单词rape[掠夺]。rapid[迅速的]也与词根rap有关：“用手抓”这个动作所需要的时间极短（类似于“弹指间”）。<br /><strong>同根</strong>　rapt, rapacious, ravenous, surreptitious<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>过度贪婪的：</ins></strong>excessively grasping or <strong><ins>covetous</ins></strong><br /><strong>例</strong>　a rapacious exploitation policy　一项贪婪的剥削政策<br /><strong>近</strong>　acquisitive, avaricious, avid, coveting, covetous, grasping, mercenary, moneygrubbing<br /><strong>反</strong>　content, sated, satiated, satisfied　心满意足的<br /><strong>派</strong>　rapaciousness n．贪婪<br />
rapport	L20 U06	[ræˈpɔːr][sound:rapport.mp3]<br />		<hr /><strong>构词</strong>　【联】r (e)-[again]+ap-[ad-, to]+port[carry], （将某人）一直带在身边→n.和睦，友好<br />　　　【参】同义词rapprochement[n.和睦，友好]，“不断[r (e)-]接近、接触[approach]的状态[-ment]”<br /><strong>词根</strong>　<strong>port</strong>　词根port表示carry[运，带来]。import[进口]字面含义“carry[port]in[im-]”。作为单词，port表示“港口”，即“运输（货物等）的地方”。<br /><strong>同根</strong>　importune, deportation, opportune, rapport<br />	<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>和睦，友好：</ins></strong>a <strong><ins>friendly relationship</ins></strong> marked by ready communication and mutual understanding<br /><strong>例</strong>　build rapport and trust　建立友好和信任<br /><strong>近</strong>　amity, communion, concord, fellowship, harmony, rapprochement<br /><strong>反</strong>　animosity, antagonism, antipathy, bitterness, enmity, hostility, jaundice, rancor　敌意<br />
rapprochement	L20 U07	[ˌræproʊʃˈmɑːn][sound:rapprochement.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>和睦，友好：</ins></strong>establishment of or state of having <strong><ins>cordial relations</ins></strong><br /><strong>例</strong>　a new era of rapprochement between China and Russia　中俄两国睦邻友好关系的新纪元<br /><strong>近</strong>　amity, communion, concord, fellowship, harmony, rapport<br /><strong>反</strong>　animosity, antagonism, antipathy, bitterness, enmity, hostility, jaundice, rancor　敌意<br />
rapscallion	L20 U07	[ræpˈskæliən][sound:rapscallion.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>流氓，恶棍：</ins></strong>a mean, <strong><ins>evil</ins></strong>, or unprincipled person<br /><strong>例</strong>　an unsafe place frequented by drunkards and rapscallions　一个酒鬼和流氓经常造访的不安全的地方<br /><strong>近</strong>　brute, devil, evildoer, fiend, knave, miscreant, rascal, reprobate, rogue, savage, scamp, varlet, wretch<br /><strong>反</strong>　saint　圣人；cavalier, chevalier（尤指对女士）彬彬有礼的绅士<br />
rapt	L20 U07	[ræpt][sound:rapt.mp3]<br />		<hr /><strong>构词</strong>　【根】rapt[seize], seize (attention), （一个人的注意力被）抓住→a.全神贯注的；seize (excitement), （一个人的兴奋点被）抓住→a.狂喜的，狂热的<br />　　　【派】名词形式rapture[全神贯注；狂喜]<br /><strong>词根</strong>　<strong>rap (t), rave, rept</strong>　词根rap (t)表示seize[抓]，构成单词rape[掠夺]。rapid[迅速的]也与词根rap有关：“用手抓”这个动作所需要的时间极短（类似于“弹指间”）。<br /><strong>同根</strong>　rapt, rapacious, ravenous, surreptitious<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>狂喜的，狂热的：</ins></strong>experiencing or marked by overwhelming usually <strong><ins>pleasurable emotion</ins></strong><br /><strong>例</strong>　a rock band that still attracts rapt crowds　一个仍然拥有着狂热粉丝的摇滚乐队<br /><strong>近</strong>　elated, elevated, enraptured, entranced, euphoric, exhilarated, intoxicated, rapturous, rhapsodic<br /><strong>反</strong>　crestfallen, dejected, depressed　沮丧的；doleful, gloomy, melancholy, mournful, woeful　哀伤的<br />
rarefy	L20 U07	[ˈrerfaɪ][sound:rarefy.mp3]<br />		<hr /><strong>构词</strong>　【记】rare[少]+-fy[fic, make], make...rare→vt.使稀薄<br />	<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>使稀薄：</ins></strong>to <strong><ins>make rare</ins></strong>, thin, porous, or less dense: to expand without the addition of matter<br /><strong>例</strong>　rarefy the air　使空气变得稀薄<br /><strong>近</strong>　attenuate, dilute, thin<br /><strong>反</strong>　concentrate, condense　使稠密，浓缩<br /><strong>派</strong>　rarefaction n．稀薄，稀疏<br />
rash	L20 U07	[ræʃ][sound:rash.mp3]<br />		<hr /><strong>构词</strong>　【联】ra[rare]+-(i) sh[v.], make rare→v.使稀薄<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>草率的，仓促的：</ins></strong>marked by or proceeding from undue haste or <strong><ins>lack</ins></strong> of deliberation or <strong><ins>caution</ins></strong><br /><strong>例</strong>　a rash move　草率的一招<br /><strong>近</strong>　cursory, gadarene, headlong, hurried, overhasty, precipitate, precipitous, rushed<br /><strong>反</strong>　deliberate　慎重考虑的；leisurely, unhurried, unrushed　从容不迫的，不慌不忙的<br /><strong>派</strong>　rashly adv．草率地，仓促地<br />
raspy	L20 U07	[ˈræspi][sound:raspy.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>声音刺耳的：</ins></strong><strong><ins>harsh</ins></strong> and dry in sound<br /><strong>例</strong>　The dying man was speaking in a raspy and barely discernible voice．将死的人在用一种沙哑刺耳且难以听清的语调说话。<br /><strong>近</strong>　cacophonous, coarse, croaky, harsh, grating, gravelly, gruff, husky, rasping, rusty, scratchy, throaty<br /><strong>反</strong>　mellifluous, sweet　声音甜美的；gentle, soft, tender　声音轻柔的<br />
